Date,Hour,Month,DayOfWeek,WeatherConditions,Calls
01/07/2019 00:00:00,14,1,Monday,good,78
01/07/2019 00:00:00,15,1,Monday,good,57
01/07/2019 00:00:00,16,1,Monday,good,35
01/07/2019 00:00:00,17,1,Monday,good,11
01/07/2019 00:00:00,18,1,Monday,good,4
01/07/2019 00:00:00,19,1,Monday,good,3
01/07/2019 00:00:00,20,1,Monday,good,3
01/07/2019 00:00:00,21,1,Monday,good,1
01/08/2019 00:00:00,3,1,Tuesday,good,3
01/08/2019 00:00:00,4,1,Tuesday,good,7
01/08/2019 00:00:00,5,1,Tuesday,good,14
01/08/2019 00:00:00,6,1,Tuesday,good,31
01/08/2019 00:00:00,7,1,Tuesday,good,39
01/08/2019 00:00:00,8,1,Tuesday,good,51
01/08/2019 00:00:00,9,1,Tuesday,good,89
01/08/2019 00:00:00,10,1,Tuesday,good,100
01/08/2019 00:00:00,11,1,Tuesday,good,97
01/08/2019 00:00:00,12,1,Tuesday,good,90
01/08/2019 00:00:00,13,1,Tuesday,good,81
01/08/2019 00:00:00,14,1,Tuesday,good,59
01/08/2019 00:00:00,15,1,Tuesday,good,40
01/08/2019 00:00:00,16,1,Tuesday,good,16
01/08/2019 00:00:00,17,1,Tuesday,good,6
01/08/2019 00:00:00,18,1,Tuesday,good,5
01/08/2019 00:00:00,19,1,Tuesday,good,2
01/08/2019 00:00:00,20,1,Tuesday,good,3
01/09/2019 00:00:00,1,1,Wednesday,good,1
01/09/2019 00:00:00,2,1,Wednesday,good,1
01/09/2019 00:00:00,3,1,Wednesday,good,1
01/09/2019 00:00:00,4,1,Wednesday,good,6
01/09/2019 00:00:00,5,1,Wednesday,good,13
01/09/2019 00:00:00,6,1,Wednesday,good,20
01/09/2019 00:00:00,7,1,Wednesday,good,37
01/09/2019 00:00:00,8,1,Wednesday,good,51
01/09/2019 00:00:00,9,1,Wednesday,good,65
01/09/2019 00:00:00,10,1,Wednesday,good,77
01/09/2019 00:00:00,11,1,Wednesday,good,96
01/09/2019 00:00:00,12,1,Wednesday,good,71
01/09/2019 00:00:00,13,1,Wednesday,good,63
01/09/2019 00:00:00,14,1,Wednesday,good,33
01/09/2019 00:00:00,15,1,Wednesday,good,28
01/09/2019 00:00:00,16,1,Wednesday,good,20
01/09/2019 00:00:00,17,1,Wednesday,good,18
01/09/2019 00:00:00,18,1,Wednesday,good,4
01/09/2019 00:00:00,19,1,Wednesday,good,3
01/10/2019 00:00:00,2,1,Thursday,good,2
01/10/2019 00:00:00,3,1,Thursday,good,2
01/10/2019 00:00:00,4,1,Thursday,good,6
01/10/2019 00:00:00,5,1,Thursday,good,8
01/10/2019 00:00:00,6,1,Thursday,good,21
01/10/2019 00:00:00,7,1,Thursday,good,29
01/10/2019 00:00:00,8,1,Thursday,good,54
01/10/2019 00:00:00,9,1,Thursday,good,74
01/10/2019 00:00:00,10,1,Thursday,good,92
01/10/2019 00:00:00,11,1,Thursday,good,92
01/10/2019 00:00:00,12,1,Thursday,good,86
01/10/2019 00:00:00,13,1,Thursday,good,71
01/10/2019 00:00:00,14,1,Thursday,good,52
01/10/2019 00:00:00,15,1,Thursday,good,34
01/10/2019 00:00:00,16,1,Thursday,good,24
01/10/2019 00:00:00,17,1,Thursday,good,9
01/10/2019 00:00:00,18,1,Thursday,good,3
01/10/2019 00:00:00,19,1,Thursday,good,2
01/10/2019 00:00:00,21,1,Thursday,good,1
01/11/2019 00:00:00,2,1,Friday,good,1
01/11/2019 00:00:00,3,1,Friday,good,2
01/11/2019 00:00:00,4,1,Friday,good,6
01/11/2019 00:00:00,5,1,Friday,good,16
01/11/2019 00:00:00,6,1,Friday,good,27
01/11/2019 00:00:00,7,1,Friday,good,54
01/11/2019 00:00:00,8,1,Friday,good,62
01/11/2019 00:00:00,9,1,Friday,good,80
01/11/2019 00:00:00,10,1,Friday,good,114
01/11/2019 00:00:00,11,1,Friday,good,89
01/11/2019 00:00:00,12,1,Friday,good,95
01/11/2019 00:00:00,13,1,Friday,good,96
01/11/2019 00:00:00,14,1,Friday,good,85
01/11/2019 00:00:00,15,1,Friday,good,47
01/11/2019 00:00:00,16,1,Friday,good,40
01/11/2019 00:00:00,17,1,Friday,good,19
01/11/2019 00:00:00,18,1,Friday,good,7
01/11/2019 00:00:00,19,1,Friday,good,5
01/11/2019 00:00:00,21,1,Friday,good,2
01/12/2019 00:00:00,1,1,Saturday,good,1
01/12/2019 00:00:00,4,1,Saturday,good,4
01/12/2019 00:00:00,5,1,Saturday,good,13
01/12/2019 00:00:00,6,1,Saturday,good,14
01/12/2019 00:00:00,7,1,Saturday,good,29
01/12/2019 00:00:00,8,1,Saturday,good,50
01/12/2019 00:00:00,9,1,Saturday,good,68
01/12/2019 00:00:00,10,1,Saturday,good,83
01/12/2019 00:00:00,11,1,Saturday,good,74
01/12/2019 00:00:00,12,1,Saturday,good,51
01/12/2019 00:00:00,13,1,Saturday,good,51
01/12/2019 00:00:00,14,1,Saturday,good,36
01/12/2019 00:00:00,15,1,Saturday,good,22
01/12/2019 00:00:00,16,1,Saturday,good,19
01/12/2019 00:00:00,17,1,Saturday,good,8
01/12/2019 00:00:00,18,1,Saturday,good,1
01/12/2019 00:00:00,19,1,Saturday,good,3
01/12/2019 00:00:00,20,1,Saturday,good,1
01/12/2019 00:00:00,21,1,Saturday,good,1
01/13/2019 00:00:00,3,1,Sunday,bad,1
01/13/2019 00:00:00,4,1,Sunday,bad,3
01/13/2019 00:00:00,5,1,Sunday,bad,4
01/13/2019 00:00:00,6,1,Sunday,bad,11
01/13/2019 00:00:00,7,1,Sunday,bad,16
01/13/2019 00:00:00,8,1,Sunday,bad,10
01/13/2019 00:00:00,9,1,Sunday,bad,27
01/13/2019 00:00:00,10,1,Sunday,bad,32
01/13/2019 00:00:00,11,1,Sunday,bad,37
01/13/2019 00:00:00,12,1,Sunday,bad,28
01/13/2019 00:00:00,13,1,Sunday,bad,24
01/13/2019 00:00:00,14,1,Sunday,bad,21
01/13/2019 00:00:00,15,1,Sunday,bad,14
01/13/2019 00:00:00,16,1,Sunday,bad,6
01/13/2019 00:00:00,17,1,Sunday,bad,3
01/13/2019 00:00:00,18,1,Sunday,bad,1
01/13/2019 00:00:00,19,1,Sunday,bad,2
01/13/2019 00:00:00,20,1,Sunday,bad,3
01/14/2019 00:00:00,2,1,Monday,good,2
01/14/2019 00:00:00,3,1,Monday,good,4
01/14/2019 00:00:00,4,1,Monday,good,6
01/14/2019 00:00:00,5,1,Monday,good,19
01/14/2019 00:00:00,6,1,Monday,good,23
01/14/2019 00:00:00,7,1,Monday,good,45
01/14/2019 00:00:00,8,1,Monday,good,62
01/14/2019 00:00:00,9,1,Monday,good,102
01/14/2019 00:00:00,10,1,Monday,good,100
01/14/2019 00:00:00,11,1,Monday,good,125
01/14/2019 00:00:00,12,1,Monday,good,100
01/14/2019 00:00:00,13,1,Monday,good,112
01/14/2019 00:00:00,14,1,Monday,good,68
01/14/2019 00:00:00,15,1,Monday,good,44
01/14/2019 00:00:00,16,1,Monday,good,28
01/14/2019 00:00:00,17,1,Monday,good,18
01/14/2019 00:00:00,18,1,Monday,good,8
01/14/2019 00:00:00,20,1,Monday,good,2
01/14/2019 00:00:00,21,1,Monday,good,1
01/15/2019 00:00:00,2,1,Tuesday,good,1
01/15/2019 00:00:00,3,1,Tuesday,good,1
01/15/2019 00:00:00,4,1,Tuesday,good,5
01/15/2019 00:00:00,5,1,Tuesday,good,5
01/15/2019 00:00:00,6,1,Tuesday,good,27
01/15/2019 00:00:00,7,1,Tuesday,good,33
01/15/2019 00:00:00,8,1,Tuesday,good,59
01/15/2019 00:00:00,9,1,Tuesday,good,91
01/15/2019 00:00:00,10,1,Tuesday,good,91
01/15/2019 00:00:00,11,1,Tuesday,good,98
01/15/2019 00:00:00,12,1,Tuesday,good,87
01/15/2019 00:00:00,13,1,Tuesday,good,75
01/15/2019 00:00:00,14,1,Tuesday,good,55
01/15/2019 00:00:00,15,1,Tuesday,good,32
01/15/2019 00:00:00,16,1,Tuesday,good,14
01/15/2019 00:00:00,17,1,Tuesday,good,13
01/15/2019 00:00:00,18,1,Tuesday,good,7
01/15/2019 00:00:00,20,1,Tuesday,good,3
01/15/2019 00:00:00,21,1,Tuesday,good,1
01/16/2019 00:00:00,1,1,Wednesday,good,1
01/16/2019 00:00:00,2,1,Wednesday,good,1
01/16/2019 00:00:00,3,1,Wednesday,good,3
01/16/2019 00:00:00,4,1,Wednesday,good,5
01/16/2019 00:00:00,5,1,Wednesday,good,14
01/16/2019 00:00:00,6,1,Wednesday,good,27
01/16/2019 00:00:00,7,1,Wednesday,good,34
01/16/2019 00:00:00,8,1,Wednesday,good,50
01/16/2019 00:00:00,9,1,Wednesday,good,77
01/16/2019 00:00:00,10,1,Wednesday,good,61
01/16/2019 00:00:00,11,1,Wednesday,good,80
01/16/2019 00:00:00,12,1,Wednesday,good,67
01/16/2019 00:00:00,13,1,Wednesday,good,59
01/16/2019 00:00:00,14,1,Wednesday,good,46
01/16/2019 00:00:00,15,1,Wednesday,good,37
01/16/2019 00:00:00,16,1,Wednesday,good,24
01/16/2019 00:00:00,17,1,Wednesday,good,11
01/16/2019 00:00:00,18,1,Wednesday,good,8
01/16/2019 00:00:00,19,1,Wednesday,good,2
01/17/2019 00:00:00,1,1,Thursday,good,1
01/17/2019 00:00:00,2,1,Thursday,good,1
01/17/2019 00:00:00,3,1,Thursday,good,4
01/17/2019 00:00:00,4,1,Thursday,good,10
01/17/2019 00:00:00,5,1,Thursday,good,14
01/17/2019 00:00:00,6,1,Thursday,good,20
01/17/2019 00:00:00,7,1,Thursday,good,31
01/17/2019 00:00:00,8,1,Thursday,good,53
01/17/2019 00:00:00,9,1,Thursday,good,84
01/17/2019 00:00:00,10,1,Thursday,good,92
01/17/2019 00:00:00,11,1,Thursday,good,83
01/17/2019 00:00:00,12,1,Thursday,good,95
01/17/2019 00:00:00,13,1,Thursday,good,63
01/17/2019 00:00:00,14,1,Thursday,good,54
01/17/2019 00:00:00,15,1,Thursday,good,46
01/17/2019 00:00:00,16,1,Thursday,good,26
01/17/2019 00:00:00,17,1,Thursday,good,16
01/17/2019 00:00:00,18,1,Thursday,good,10
01/17/2019 00:00:00,19,1,Thursday,good,1
01/18/2019 00:00:00,3,1,Friday,good,5
01/18/2019 00:00:00,4,1,Friday,good,8
01/18/2019 00:00:00,5,1,Friday,good,21
01/18/2019 00:00:00,6,1,Friday,good,25
01/18/2019 00:00:00,7,1,Friday,good,46
01/18/2019 00:00:00,8,1,Friday,good,80
01/18/2019 00:00:00,9,1,Friday,good,105
01/18/2019 00:00:00,10,1,Friday,good,101
01/18/2019 00:00:00,11,1,Friday,good,122
01/18/2019 00:00:00,12,1,Friday,good,110
01/18/2019 00:00:00,13,1,Friday,good,91
01/18/2019 00:00:00,14,1,Friday,good,51
01/18/2019 00:00:00,15,1,Friday,good,48
01/18/2019 00:00:00,16,1,Friday,good,34
01/18/2019 00:00:00,17,1,Friday,good,15
01/18/2019 00:00:00,18,1,Friday,good,5
01/18/2019 00:00:00,19,1,Friday,good,5
01/18/2019 00:00:00,20,1,Friday,good,2
01/18/2019 00:00:00,21,1,Friday,good,1
01/19/2019 00:00:00,2,1,Saturday,good,1
01/19/2019 00:00:00,3,1,Saturday,good,4
01/19/2019 00:00:00,4,1,Saturday,good,2
01/19/2019 00:00:00,5,1,Saturday,good,9
01/19/2019 00:00:00,6,1,Saturday,good,14
01/19/2019 00:00:00,7,1,Saturday,good,26
01/19/2019 00:00:00,8,1,Saturday,good,37
01/19/2019 00:00:00,9,1,Saturday,good,54
01/19/2019 00:00:00,10,1,Saturday,good,70
01/19/2019 00:00:00,11,1,Saturday,good,63
01/19/2019 00:00:00,12,1,Saturday,good,59
01/19/2019 00:00:00,13,1,Saturday,good,47
01/19/2019 00:00:00,14,1,Saturday,good,50
01/19/2019 00:00:00,15,1,Saturday,good,31
01/19/2019 00:00:00,16,1,Saturday,good,12
01/19/2019 00:00:00,17,1,Saturday,good,12
01/19/2019 00:00:00,18,1,Saturday,good,2
01/19/2019 00:00:00,19,1,Saturday,good,4
01/19/2019 00:00:00,20,1,Saturday,good,1
01/20/2019 00:00:00,4,1,Sunday,good,2
01/20/2019 00:00:00,5,1,Sunday,good,1
01/20/2019 00:00:00,6,1,Sunday,good,6
01/20/2019 00:00:00,7,1,Sunday,good,11
01/20/2019 00:00:00,8,1,Sunday,good,12
01/20/2019 00:00:00,9,1,Sunday,good,19
01/20/2019 00:00:00,10,1,Sunday,good,25
01/20/2019 00:00:00,11,1,Sunday,good,24
01/20/2019 00:00:00,12,1,Sunday,good,24
01/20/2019 00:00:00,13,1,Sunday,good,23
01/20/2019 00:00:00,14,1,Sunday,good,15
01/20/2019 00:00:00,15,1,Sunday,good,9
01/20/2019 00:00:00,16,1,Sunday,good,9
01/20/2019 00:00:00,17,1,Sunday,good,3
01/20/2019 00:00:00,18,1,Sunday,good,1
01/21/2019 00:00:00,1,1,Monday,good,1
01/21/2019 00:00:00,2,1,Monday,good,5
01/21/2019 00:00:00,3,1,Monday,good,4
01/21/2019 00:00:00,4,1,Monday,good,7
01/21/2019 00:00:00,5,1,Monday,good,13
01/21/2019 00:00:00,6,1,Monday,good,24
01/21/2019 00:00:00,7,1,Monday,good,35
01/21/2019 00:00:00,8,1,Monday,good,62
01/21/2019 00:00:00,9,1,Monday,good,72
01/21/2019 00:00:00,10,1,Monday,good,94
01/21/2019 00:00:00,11,1,Monday,good,107
01/21/2019 00:00:00,12,1,Monday,good,106
01/21/2019 00:00:00,13,1,Monday,good,77
01/21/2019 00:00:00,14,1,Monday,good,69
01/21/2019 00:00:00,15,1,Monday,good,35
01/21/2019 00:00:00,16,1,Monday,good,28
01/21/2019 00:00:00,17,1,Monday,good,10
01/21/2019 00:00:00,18,1,Monday,good,13
01/21/2019 00:00:00,19,1,Monday,good,5
01/21/2019 00:00:00,20,1,Monday,good,1
01/21/2019 00:00:00,21,1,Monday,good,1
01/22/2019 00:00:00,3,1,Tuesday,good,2
01/22/2019 00:00:00,4,1,Tuesday,good,1
01/22/2019 00:00:00,5,1,Tuesday,good,9
01/22/2019 00:00:00,6,1,Tuesday,good,24
01/22/2019 00:00:00,7,1,Tuesday,good,38
01/22/2019 00:00:00,8,1,Tuesday,good,53
01/22/2019 00:00:00,9,1,Tuesday,good,81
01/22/2019 00:00:00,10,1,Tuesday,good,89
01/22/2019 00:00:00,11,1,Tuesday,good,109
01/22/2019 00:00:00,12,1,Tuesday,good,100
01/22/2019 00:00:00,13,1,Tuesday,good,80
01/22/2019 00:00:00,14,1,Tuesday,good,53
01/22/2019 00:00:00,15,1,Tuesday,good,38
01/22/2019 00:00:00,16,1,Tuesday,good,25
01/22/2019 00:00:00,17,1,Tuesday,good,12
01/22/2019 00:00:00,18,1,Tuesday,good,6
01/22/2019 00:00:00,19,1,Tuesday,good,7
01/22/2019 00:00:00,20,1,Tuesday,good,1
01/23/2019 00:00:00,2,1,Wednesday,bad,1
01/23/2019 00:00:00,3,1,Wednesday,bad,4
01/23/2019 00:00:00,4,1,Wednesday,bad,5
01/23/2019 00:00:00,5,1,Wednesday,bad,15
01/23/2019 00:00:00,6,1,Wednesday,bad,27
01/23/2019 00:00:00,7,1,Wednesday,bad,56
01/23/2019 00:00:00,8,1,Wednesday,bad,81
01/23/2019 00:00:00,9,1,Wednesday,bad,89
01/23/2019 00:00:00,10,1,Wednesday,bad,106
01/23/2019 00:00:00,11,1,Wednesday,bad,114
01/23/2019 00:00:00,12,1,Wednesday,bad,120
01/23/2019 00:00:00,13,1,Wednesday,bad,101
01/23/2019 00:00:00,14,1,Wednesday,bad,75
01/23/2019 00:00:00,15,1,Wednesday,bad,44
01/23/2019 00:00:00,16,1,Wednesday,bad,32
01/23/2019 00:00:00,17,1,Wednesday,bad,18
01/23/2019 00:00:00,18,1,Wednesday,bad,3
01/23/2019 00:00:00,19,1,Wednesday,bad,7
01/24/2019 00:00:00,0,1,Thursday,good,1
01/24/2019 00:00:00,2,1,Thursday,good,2
01/24/2019 00:00:00,3,1,Thursday,good,3
01/24/2019 00:00:00,4,1,Thursday,good,7
01/24/2019 00:00:00,5,1,Thursday,good,13
01/24/2019 00:00:00,6,1,Thursday,good,14
01/24/2019 00:00:00,7,1,Thursday,good,29
01/24/2019 00:00:00,8,1,Thursday,good,56
01/24/2019 00:00:00,9,1,Thursday,good,65
01/24/2019 00:00:00,10,1,Thursday,good,100
01/24/2019 00:00:00,11,1,Thursday,good,94
01/24/2019 00:00:00,12,1,Thursday,good,97
01/24/2019 00:00:00,13,1,Thursday,good,62
01/24/2019 00:00:00,14,1,Thursday,good,67
01/24/2019 00:00:00,15,1,Thursday,good,30
01/24/2019 00:00:00,16,1,Thursday,good,22
01/24/2019 00:00:00,17,1,Thursday,good,14
01/24/2019 00:00:00,18,1,Thursday,good,12
01/24/2019 00:00:00,19,1,Thursday,good,3
01/24/2019 00:00:00,20,1,Thursday,good,2
01/25/2019 00:00:00,1,1,Friday,bad,2
01/25/2019 00:00:00,2,1,Friday,bad,3
01/25/2019 00:00:00,3,1,Friday,bad,2
01/25/2019 00:00:00,4,1,Friday,bad,9
01/25/2019 00:00:00,5,1,Friday,bad,29
01/25/2019 00:00:00,6,1,Friday,bad,46
01/25/2019 00:00:00,7,1,Friday,bad,85
01/25/2019 00:00:00,8,1,Friday,bad,121
01/25/2019 00:00:00,9,1,Friday,bad,159
01/25/2019 00:00:00,10,1,Friday,bad,196
01/25/2019 00:00:00,11,1,Friday,bad,174
01/25/2019 00:00:00,12,1,Friday,bad,165
01/25/2019 00:00:00,13,1,Friday,bad,138
01/25/2019 00:00:00,14,1,Friday,bad,102
01/25/2019 00:00:00,15,1,Friday,bad,85
01/25/2019 00:00:00,16,1,Friday,bad,43
01/25/2019 00:00:00,17,1,Friday,bad,33
01/25/2019 00:00:00,18,1,Friday,bad,16
01/25/2019 00:00:00,19,1,Friday,bad,8
01/25/2019 00:00:00,20,1,Friday,bad,3
01/25/2019 00:00:00,21,1,Friday,bad,1
01/26/2019 00:00:00,3,1,Saturday,bad,6
01/26/2019 00:00:00,4,1,Saturday,bad,3
01/26/2019 00:00:00,5,1,Saturday,bad,10
01/26/2019 00:00:00,6,1,Saturday,bad,23
01/26/2019 00:00:00,7,1,Saturday,bad,34
01/26/2019 00:00:00,8,1,Saturday,bad,58
01/26/2019 00:00:00,9,1,Saturday,bad,74
01/26/2019 00:00:00,10,1,Saturday,bad,103
01/26/2019 00:00:00,11,1,Saturday,bad,96
01/26/2019 00:00:00,12,1,Saturday,bad,81
01/26/2019 00:00:00,13,1,Saturday,bad,61
01/26/2019 00:00:00,14,1,Saturday,bad,60
01/26/2019 00:00:00,15,1,Saturday,bad,42
01/26/2019 00:00:00,16,1,Saturday,bad,35
01/26/2019 00:00:00,17,1,Saturday,bad,14
01/26/2019 00:00:00,18,1,Saturday,bad,4
01/26/2019 00:00:00,19,1,Saturday,bad,4
01/27/2019 00:00:00,3,1,Sunday,bad,3
01/27/2019 00:00:00,4,1,Sunday,bad,3
01/27/2019 00:00:00,5,1,Sunday,bad,9
01/27/2019 00:00:00,6,1,Sunday,bad,8
01/27/2019 00:00:00,7,1,Sunday,bad,12
01/27/2019 00:00:00,8,1,Sunday,bad,12
01/27/2019 00:00:00,9,1,Sunday,bad,20
01/27/2019 00:00:00,10,1,Sunday,bad,38
01/27/2019 00:00:00,11,1,Sunday,bad,42
01/27/2019 00:00:00,12,1,Sunday,bad,30
01/27/2019 00:00:00,13,1,Sunday,bad,35
01/27/2019 00:00:00,14,1,Sunday,bad,15
01/27/2019 00:00:00,15,1,Sunday,bad,10
01/27/2019 00:00:00,16,1,Sunday,bad,9
01/27/2019 00:00:00,17,1,Sunday,bad,3
01/27/2019 00:00:00,18,1,Sunday,bad,3
01/27/2019 00:00:00,20,1,Sunday,bad,1
01/28/2019 00:00:00,1,1,Monday,good,1
01/28/2019 00:00:00,2,1,Monday,good,2
01/28/2019 00:00:00,3,1,Monday,good,3
01/28/2019 00:00:00,4,1,Monday,good,13
01/28/2019 00:00:00,5,1,Monday,good,23
01/28/2019 00:00:00,6,1,Monday,good,27
01/28/2019 00:00:00,7,1,Monday,good,64
01/28/2019 00:00:00,8,1,Monday,good,81
01/28/2019 00:00:00,9,1,Monday,good,96
01/28/2019 00:00:00,10,1,Monday,good,108
01/28/2019 00:00:00,11,1,Monday,good,131
01/28/2019 00:00:00,12,1,Monday,good,119
01/28/2019 00:00:00,13,1,Monday,good,99
01/28/2019 00:00:00,14,1,Monday,good,54
01/28/2019 00:00:00,15,1,Monday,good,50
01/28/2019 00:00:00,16,1,Monday,good,35
01/28/2019 00:00:00,17,1,Monday,good,16
01/28/2019 00:00:00,18,1,Monday,good,7
01/28/2019 00:00:00,19,1,Monday,good,3
01/28/2019 00:00:00,20,1,Monday,good,3
01/29/2019 00:00:00,1,1,Tuesday,bad,1
01/29/2019 00:00:00,2,1,Tuesday,bad,2
01/29/2019 00:00:00,3,1,Tuesday,bad,4
01/29/2019 00:00:00,4,1,Tuesday,bad,11
01/29/2019 00:00:00,5,1,Tuesday,bad,22
